Object_name,chr,lncRNA_start,lncRNA_end,Alu,Alu_strand,Alu_chr,Alu_start,Alu_end,TF_Name,TF_MA,Score,TF_strand,TF_chr,TF_start,TF_end
ARHGAP33,19,35774532,35788822,AluY,-,19,35769303,35769605,MA1587.1,414,414,+,chr19,35769385,35769399
ARHGAP33,19,35774532,35788822,AluY,-,19,35769303,35769605,MA2032.1,422,422,+,chr19,35769389,35769399
ARHGAP33,19,35774532,35788822,AluY,-,19,35769303,35769605,MA1555.1,420,420,-,chr19,35769397,35769411
ARHGAP33,19,35774532,35788822,AluY,-,19,35769303,35769605,MA1556.1,421,421,+,chr19,35769397,35769411
ARHGAP33,19,35774532,35788822,AluY,-,19,35769303,35769605,MA0596.1,422,422,-,chr19,35769400,35769410
ARHGAP33,19,35774532,35788822,AluY,-,19,35769303,35769605,MA1710.1,493,493,-,chr19,35769411,35769423
ARHGAP33,19,35774532,35788822,AluY,-,19,35769303,35769605,MA0659.3,416,416,+,chr19,35769411,35769426
ARHGAP33,19,35774532,35788822,AluY,-,19,35769303,35769605,MA0496.3,473,473,+,chr19,35769412,35769427
ARHGAP33,19,35774532,35788822,AluY,-,19,35769303,35769605,MA0003.4,407,407,+,chr19,35769413,35769427
ARHGAP33,19,35774532,35788822,AluY,-,19,35769303,35769605,MA0814.2,418,418,-,chr19,35769413,35769427
ARHGAP33,19,35774532,35788822,AluY,-,19,35769303,35769605,MA1596.1,963,963,+,chr19,35769416,35769432
ARHGAP33,19,35774532,35788822,AluY,-,19,35769303,35769605,MA1587.1,545,545,+,chr19,35769417,35769431
ARHGAP33,19,35774532,35788822,AluY,-,19,35769303,35769605,MA0499.2,430,430,-,chr19,35769440,35769453
ARHGAP33,19,35774532,35788822,AluY,-,19,35769303,35769605,MA0745.2,548,548,-,chr19,35769440,35769453
ARHGAP33,19,35774532,35788822,AluY,-,19,35769303,35769605,MA0830.2,421,421,-,chr19,35769440,35769453
ARHGAP33,19,35774532,35788822,AluY,-,19,35769303,35769605,MA1621.1,403,403,-,chr19,35769440,35769454
ARHGAP33,19,35774532,35788822,AluY,-,19,35769303,35769605,MA1620.1,403,403,-,chr19,35769441,35769453
ARHGAP33,19,35774532,35788822,AluY,-,19,35769303,35769605,MA1493.1,426,426,-,chr19,35769442,35769452
ARHGAP33,19,35774532,35788822,AluY,-,19,35769303,35769605,MA1558.1,410,410,+,chr19,35769442,35769452
ARHGAP33,19,35774532,35788822,AluY,-,19,35769303,35769605,MA1559.1,436,436,+,chr19,35769442,35769452
ARHGAP33,19,35774532,35788822,AluY,-,19,35769303,35769605,MA0471.2,409,409,-,chr19,35769446,35769459
ARHGAP33,19,35774532,35788822,AluY,-,19,35769303,35769605,MA0738.1,441,441,+,chr19,35769447,35769456
ARHGAP33,19,35774532,35788822,AluY,-,19,35769303,35769605,MA0865.2,422,422,+,chr19,35769448,35769460
ARHGAP33,19,35774532,35788822,AluY,-,19,35769303,35769605,MA1471.1,439,439,-,chr19,35769467,35769479
ARHGAP33,19,35774532,35788822,AluY,-,19,35769303,35769605,MA1125.1,419,419,-,chr19,35769469,35769481
ARHGAP33,19,35774532,35788822,AluY,-,19,35769303,35769605,MA1125.1,456,456,-,chr19,35769470,35769482
ARHGAP33,19,35774532,35788822,AluY,-,19,35769303,35769605,MA1125.1,573,573,-,chr19,35769471,35769483
ARHGAP33,19,35774532,35788822,AluY,-,19,35769303,35769605,MA1487.2,474,474,-,chr19,35769476,35769490
ARHGAP33,19,35774532,35788822,AluY,-,19,35769303,35769605,MA0052.4,595,595,-,chr19,35769476,35769491
ARHGAP33,19,35774532,35788822,AluY,-,19,35769303,35769605,MA0497.1,509,509,-,chr19,35769477,35769492
ARHGAP33,19,35774532,35788822,AluY,-,19,35769303,35769605,MA0660.1,487,487,-,chr19,35769478,35769490
ARHGAP33,19,35774532,35788822,AluY,-,19,35769303,35769605,MA0773.1,507,507,-,chr19,35769478,35769490
ARHGAP33,19,35774532,35788822,AluY,-,19,35769303,35769605,MA1587.1,409,409,+,chr19,35769523,35769537
ARHGAP33,19,35774532,35788822,AluY,-,19,35769303,35769605,MA0728.1,465,465,-,chr19,35769526,35769541
ARHGAP33,19,35774532,35788822,AluY,-,19,35769303,35769605,MA0017.2,440,440,-,chr19,35769530,35769543
ARHGAP33,19,35774532,35788822,AluY,-,19,35769303,35769605,MA1110.2,517,517,-,chr19,35769532,35769542
ARHGAP33,19,35774532,35788822,AluY,-,19,35769303,35769605,MA1535.1,427,427,-,chr19,35769533,35769542
ARHGAP33,19,35774532,35788822,AluY,-,19,35769303,35769605,MA1531.1,453,453,-,chr19,35769533,35769548
ARHGAP33,19,35774532,35788822,AluY,-,19,35769303,35769605,MA1532.2,451,451,-,chr19,35769534,35769549
ARHGAP33,19,35774532,35788822,AluY,-,19,35769303,35769605,MA0159.1,425,425,-,chr19,35769534,35769551
ARHGAP33,19,35774532,35788822,AluY,-,19,35769303,35769605,MA1723.1,427,427,-,chr19,35769540,35769564
ARHGAP33,19,35774532,35788822,AluY,-,19,35769303,35769605,MA0146.2,602,602,+,chr19,35769549,35769563
ARHGAP33,19,35774532,35788822,AluY,-,19,35769303,35769605,MA0163.1,418,418,-,chr19,35769549,35769563
ARHGAP33,19,35774532,35788822,AluY,-,19,35769303,35769605,MA1596.1,747,747,+,chr19,35769552,35769568
ARHGAP33,19,35774532,35788822,AluY,-,19,35769303,35769605,MA1587.1,630,630,+,chr19,35769553,35769567
ARHGAP33,19,35774532,35788822,AluY,-,19,35769303,35769605,MA0483.1,410,410,-,chr19,35769569,35769580
ARHGAP33,19,35774532,35788822,AluY,-,19,35769303,35769605,MA0019.1,470,470,-,chr19,35769573,35769585
ARHGAP33,19,35774532,35788822,AluY,-,19,35769303,35769605,MA0478.1,405,405,-,chr19,35769585,35769596
ARHGAP33,19,35774532,35788822,AluY,-,19,35769303,35769605,MA1723.1,550,550,-,chr19,35769594,35769618
ARHGAP33,19,35774532,35788822,AluY,-,19,35769303,35769605,MA2030.1,554,554,-,chr19,35769597,35769607
ARHGAP33,19,35774532,35788822,AluY,-,19,35769303,35769605,MA1548.1,517,517,+,chr19,35769599,35769609
ARHGAP33,19,35774532,35788822,AluY,-,19,35769303,35769605,MA1548.1,411,411,+,chr19,35769600,35769610
ARHGAP33,19,35774532,35788822,AluY,-,19,35769303,35769605,MA1596.1,453,453,+,chr19,35769601,35769617
ARHGAP33,19,35774532,35788822,AluY,-,19,35769303,35769605,MA1866.1,408,408,-,chr19,35769602,35769614
ARHGAP33,19,35774532,35788822,AluY,-,19,35769303,35769605,MA1578.1,405,405,+,chr19,35769603,35769613
ARHGAP33,19,35774532,35788822,AluY,-,19,35769303,35769605,MA1522.1,632,632,+,chr19,35769604,35769615
ARHGAP33,19,35774532,35788822,AluY,-,19,35769303,35769605,MA0039.4,424,424,+,chr19,35769604,35769616
ARHGAP33,19,35774532,35788822,AluY,-,19,35769303,35769605,MA1630.2,477,477,-,chr19,35769604,35769616
ARHGAP33,19,35774532,35788822,AluY,-,19,35769303,35769605,MA1653.1,570,570,+,chr19,35769604,35769616
ARHGAP33,19,35774532,35788822,AluY,-,19,35769303,35769605,MA0753.2,436,436,+,chr19,35769604,35769617
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35769727,35769897,MA0681.2,408,408,-,chr19,35769725,35769741
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35769727,35769897,MA0901.2,470,470,-,chr19,35769728,35769742
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35769727,35769897,MA0041.2,401,401,-,chr19,35769728,35769744
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35769727,35769897,MA0681.2,478,478,-,chr19,35769730,35769746
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35769727,35769897,MA0029.1,428,428,-,chr19,35769731,35769745
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35769727,35769897,MA0901.2,477,477,-,chr19,35769733,35769747
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35769727,35769897,MA0052.4,454,454,-,chr19,35769735,35769750
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35769727,35769897,MA0773.1,411,411,-,chr19,35769737,35769749
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35769727,35769897,MA1125.1,477,477,-,chr19,35769739,35769751
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35769727,35769897,MA0142.1,407,407,+,chr19,35769743,35769758
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35769727,35769897,MA0078.2,493,493,+,chr19,35769778,35769792
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35769727,35769897,MA0087.2,427,427,+,chr19,35769779,35769792
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35769727,35769897,MA0868.2,433,433,+,chr19,35769780,35769790
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35769727,35769897,MA1152.1,416,416,-,chr19,35769780,35769790
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35769727,35769897,MA0077.1,433,433,-,chr19,35769781,35769790
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35769727,35769897,MA0143.4,470,470,+,chr19,35769781,35769792
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35769727,35769897,MA0514.2,464,464,+,chr19,35769781,35769792
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35769727,35769897,MA1120.1,455,455,+,chr19,35769781,35769792
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35769727,35769897,MA0596.1,411,411,+,chr19,35769786,35769796
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35769727,35769897,MA1596.1,670,670,+,chr19,35769810,35769826
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35769727,35769897,MA1587.1,627,627,+,chr19,35769811,35769825
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35769727,35769897,MA1581.1,411,411,-,chr19,35769822,35769835
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35769727,35769897,MA1710.1,493,493,-,chr19,35769837,35769849
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35769727,35769897,MA0659.3,416,416,+,chr19,35769837,35769852
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35769727,35769897,MA0496.3,504,504,+,chr19,35769838,35769853
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35769727,35769897,MA0814.2,403,403,-,chr19,35769839,35769853
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35769727,35769897,MA1596.1,573,573,+,chr19,35769842,35769858
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35769727,35769897,MA1797.1,442,442,-,chr19,35769865,35769882
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35769727,35769897,MA0822.1,476,476,-,chr19,35769871,35769883
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35769727,35769897,MA0822.1,490,490,+,chr19,35769871,35769883
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35769727,35769897,MA0499.2,447,447,+,chr19,35769871,35769884
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35769727,35769897,MA0745.2,469,469,+,chr19,35769871,35769884
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35769727,35769897,MA0830.2,591,591,+,chr19,35769871,35769884
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35769727,35769897,MA1631.1,567,567,+,chr19,35769871,35769884
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35769727,35769897,MA0649.1,420,420,+,chr19,35769872,35769882
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35769727,35769897,MA1100.2,462,462,+,chr19,35769872,35769882
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35769727,35769897,MA1100.2,467,467,-,chr19,35769872,35769882
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35769727,35769897,MA1558.1,465,465,-,chr19,35769872,35769882
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35769727,35769897,MA1559.1,432,432,-,chr19,35769872,35769882
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35769727,35769897,MA0103.3,442,442,+,chr19,35769872,35769883
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35769727,35769897,MA0522.3,459,459,+,chr19,35769872,35769883
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35769727,35769897,MA1648.1,468,468,+,chr19,35769872,35769883
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35769727,35769897,MA1527.1,404,404,-,chr19,35769876,35769893
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35769727,35769897,MA1528.1,404,404,-,chr19,35769876,35769893
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35769727,35769897,MA0119.1,430,430,+,chr19,35769878,35769892
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35769727,35769897,MA1107.2,441,441,+,chr19,35769880,35769896
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35769727,35769897,MA1515.1,662,662,+,chr19,35769881,35769892
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35769727,35769897,MA1516.1,510,510,+,chr19,35769881,35769892
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35769727,35769897,MA1517.1,602,602,+,chr19,35769881,35769892
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35769727,35769897,MA0746.2,511,511,+,chr19,35769881,35769894
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35769727,35769897,MA0599.1,406,406,+,chr19,35769882,35769892
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35769727,35769897,MA1512.1,443,443,+,chr19,35769882,35769893
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35769727,35769897,MA0747.1,498,498,+,chr19,35769882,35769894
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35769727,35769897,MA1564.1,512,512,+,chr19,35769882,35769894
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35769727,35769897,MA0493.2,451,451,-,chr19,35769883,35769892
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35769727,35769897,MA0685.2,416,416,-,chr19,35769883,35769892
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35769727,35769897,MA0740.2,471,471,-,chr19,35769883,35769892
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35769727,35769897,MA0742.2,451,451,-,chr19,35769883,35769892
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35769727,35769897,MA1511.2,433,433,-,chr19,35769883,35769892
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35769727,35769897,MA1870.1,451,451,-,chr19,35769883,35769892
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35769727,35769897,MA2028.1,404,404,-,chr19,35769885,35769896
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35769727,35769897,MA1729.1,442,442,-,chr19,35769893,35769908
ARHGAP33,19,35774532,35788822,AluSx4,-,19,35769897,35770201,MA1729.1,442,442,-,chr19,35769893,35769908
ARHGAP33,19,35774532,35788822,AluSx4,-,19,35769897,35770201,MA0041.2,411,411,-,chr19,35769898,35769914
ARHGAP33,19,35774532,35788822,AluSx4,-,19,35769897,35770201,MA0867.2,471,471,-,chr19,35769899,35769909
ARHGAP33,19,35774532,35788822,AluSx4,-,19,35769897,35770201,MA0442.2,519,519,-,chr19,35769899,35769910
ARHGAP33,19,35774532,35788822,AluSx4,-,19,35769897,35770201,MA0869.2,424,424,-,chr19,35769899,35769911
ARHGAP33,19,35774532,35788822,AluSx4,-,19,35769897,35770201,MA0851.1,417,417,-,chr19,35769899,35769916
ARHGAP33,19,35774532,35788822,AluSx4,-,19,35769897,35770201,MA0515.1,409,409,+,chr19,35769900,35769910
ARHGAP33,19,35774532,35788822,AluSx4,-,19,35769897,35770201,MA0041.2,533,533,-,chr19,35769902,35769918
ARHGAP33,19,35774532,35788822,AluSx4,-,19,35769897,35770201,MA0851.1,428,428,-,chr19,35769903,35769920
ARHGAP33,19,35774532,35788822,AluSx4,-,19,35769897,35770201,MA0041.2,614,614,-,chr19,35769906,35769922
ARHGAP33,19,35774532,35788822,AluSx4,-,19,35769897,35770201,MA0851.1,426,426,-,chr19,35769907,35769924
ARHGAP33,19,35774532,35788822,AluSx4,-,19,35769897,35770201,MA0846.1,478,478,-,chr19,35769910,35769922
ARHGAP33,19,35774532,35788822,AluSx4,-,19,35769897,35770201,MA1487.2,545,545,-,chr19,35769910,35769924
ARHGAP33,19,35774532,35788822,AluSx4,-,19,35769897,35770201,MA0041.2,436,436,-,chr19,35769910,35769926
ARHGAP33,19,35774532,35788822,AluSx4,-,19,35769897,35770201,MA0847.3,475,475,-,chr19,35769912,35769924
ARHGAP33,19,35774532,35788822,AluSx4,-,19,35769897,35770201,MA0065.2,408,408,-,chr19,35769934,35769949
ARHGAP33,19,35774532,35788822,AluSx4,-,19,35769897,35770201,MA0003.4,411,411,+,chr19,35769939,35769953
ARHGAP33,19,35774532,35788822,AluSx4,-,19,35769897,35770201,MA0812.1,420,420,+,chr19,35769941,35769952
ARHGAP33,19,35774532,35788822,AluSx4,-,19,35769897,35770201,MA1569.1,409,409,-,chr19,35769941,35769952
ARHGAP33,19,35774532,35788822,AluSx4,-,19,35769897,35770201,MA1569.1,421,421,+,chr19,35769941,35769952
ARHGAP33,19,35774532,35788822,AluSx4,-,19,35769897,35770201,MA0597.2,437,437,+,chr19,35769950,35769962
ARHGAP33,19,35774532,35788822,AluSx4,-,19,35769897,35770201,MA0483.1,432,432,+,chr19,35769982,35769993
ARHGAP33,19,35774532,35788822,AluSx4,-,19,35769897,35770201,MA0496.3,468,468,+,chr19,35770012,35770027
ARHGAP33,19,35774532,35788822,AluSx4,-,19,35769897,35770201,MA0814.2,404,404,-,chr19,35770013,35770027
ARHGAP33,19,35774532,35788822,AluSx4,-,19,35769897,35770201,MA1596.1,794,794,+,chr19,35770016,35770032
ARHGAP33,19,35774532,35788822,AluSx4,-,19,35769897,35770201,MA1587.1,470,470,+,chr19,35770017,35770031
ARHGAP33,19,35774532,35788822,AluSx4,-,19,35769897,35770201,MA1487.2,474,474,-,chr19,35770073,35770087
ARHGAP33,19,35774532,35788822,AluSx4,-,19,35769897,35770201,MA0052.4,595,595,-,chr19,35770073,35770088
ARHGAP33,19,35774532,35788822,AluSx4,-,19,35769897,35770201,MA0497.1,509,509,-,chr19,35770074,35770089
ARHGAP33,19,35774532,35788822,AluSx4,-,19,35769897,35770201,MA0660.1,487,487,-,chr19,35770075,35770087
ARHGAP33,19,35774532,35788822,AluSx4,-,19,35769897,35770201,MA0773.1,507,507,-,chr19,35770075,35770087
ARHGAP33,19,35774532,35788822,AluSx4,-,19,35769897,35770201,MA0105.4,421,421,+,chr19,35770092,35770105
ARHGAP33,19,35774532,35788822,AluSx4,-,19,35769897,35770201,MA0778.1,408,408,+,chr19,35770092,35770105
ARHGAP33,19,35774532,35788822,AluSx4,-,19,35769897,35770201,MA0778.1,429,429,-,chr19,35770092,35770105
ARHGAP33,19,35774532,35788822,AluSx4,-,19,35769897,35770201,MA0502.2,415,415,+,chr19,35770103,35770115
ARHGAP33,19,35774532,35788822,AluSx4,-,19,35769897,35770201,MA0859.1,442,442,-,chr19,35770122,35770138
ARHGAP33,19,35774532,35788822,AluSx4,-,19,35769897,35770201,MA1552.1,409,409,+,chr19,35770124,35770138
ARHGAP33,19,35774532,35788822,AluSx4,-,19,35769897,35770201,MA1552.1,433,433,-,chr19,35770124,35770138
ARHGAP33,19,35774532,35788822,AluSx4,-,19,35769897,35770201,MA1553.1,433,433,+,chr19,35770124,35770138
ARHGAP33,19,35774532,35788822,AluSx4,-,19,35769897,35770201,MA1555.1,418,418,-,chr19,35770124,35770138
ARHGAP33,19,35774532,35788822,AluSx4,-,19,35769897,35770201,MA1555.1,448,448,+,chr19,35770124,35770138
ARHGAP33,19,35774532,35788822,AluSx4,-,19,35769897,35770201,MA1556.1,408,408,+,chr19,35770124,35770138
ARHGAP33,19,35774532,35788822,AluSx4,-,19,35769897,35770201,MA1556.1,467,467,-,chr19,35770124,35770138
ARHGAP33,19,35774532,35788822,AluSx4,-,19,35769897,35770201,MA0017.2,454,454,-,chr19,35770127,35770140
ARHGAP33,19,35774532,35788822,AluSx4,-,19,35769897,35770201,MA1110.2,442,442,-,chr19,35770129,35770139
ARHGAP33,19,35774532,35788822,AluSx4,-,19,35769897,35770201,MA1632.1,414,414,-,chr19,35770129,35770142
ARHGAP33,19,35774532,35788822,AluSx4,-,19,35769897,35770201,MA1536.1,481,481,-,chr19,35770130,35770138
ARHGAP33,19,35774532,35788822,AluSx4,-,19,35769897,35770201,MA1535.1,481,481,-,chr19,35770130,35770139
ARHGAP33,19,35774532,35788822,AluSx4,-,19,35769897,35770201,MA1531.1,450,450,-,chr19,35770130,35770145
ARHGAP33,19,35774532,35788822,AluSx4,-,19,35769897,35770201,MA0859.1,470,470,-,chr19,35770130,35770146
ARHGAP33,19,35774532,35788822,AluSx4,-,19,35769897,35770201,MA0728.1,520,520,-,chr19,35770131,35770146
ARHGAP33,19,35774532,35788822,AluSx4,-,19,35769897,35770201,MA1710.1,493,493,-,chr19,35770144,35770156
ARHGAP33,19,35774532,35788822,AluSx4,-,19,35769897,35770201,MA0659.3,416,416,+,chr19,35770144,35770159
ARHGAP33,19,35774532,35788822,AluSx4,-,19,35769897,35770201,MA0496.3,473,473,+,chr19,35770145,35770160
ARHGAP33,19,35774532,35788822,AluSx4,-,19,35769897,35770201,MA0003.4,407,407,+,chr19,35770146,35770160
ARHGAP33,19,35774532,35788822,AluSx4,-,19,35769897,35770201,MA0814.2,418,418,-,chr19,35770146,35770160
ARHGAP33,19,35774532,35788822,AluSx4,-,19,35769897,35770201,MA1596.1,825,825,+,chr19,35770149,35770165
ARHGAP33,19,35774532,35788822,AluSx4,-,19,35769897,35770201,MA1587.1,525,525,+,chr19,35770150,35770164
ARHGAP33,19,35774532,35788822,AluSx4,-,19,35769897,35770201,MA1101.2,426,426,+,chr19,35770177,35770196
ARHGAP33,19,35774532,35788822,AluSx4,-,19,35769897,35770201,MA0841.1,417,417,-,chr19,35770181,35770192
ARHGAP33,19,35774532,35788822,AluSx4,-,19,35769897,35770201,MA0841.1,426,426,+,chr19,35770181,35770192
ARHGAP33,19,35774532,35788822,AluSx4,-,19,35769897,35770201,MA0478.1,427,427,-,chr19,35770182,35770193
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35770201,35770337,MA1125.1,411,411,-,chr19,35770201,35770213
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35770201,35770337,MA1487.2,474,474,-,chr19,35770206,35770220
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35770201,35770337,MA0052.4,595,595,-,chr19,35770206,35770221
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35770201,35770337,MA0497.1,509,509,-,chr19,35770207,35770222
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35770201,35770337,MA0660.1,487,487,-,chr19,35770208,35770220
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35770201,35770337,MA0773.1,507,507,-,chr19,35770208,35770220
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35770201,35770337,MA1587.1,548,548,+,chr19,35770253,35770267
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35770201,35770337,MA0684.2,443,443,+,chr19,35770263,35770275
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35770201,35770337,MA1107.2,469,469,+,chr19,35770273,35770289
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35770201,35770337,MA0039.4,425,425,+,chr19,35770274,35770286
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35770201,35770337,MA0599.1,428,428,+,chr19,35770275,35770285
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35770201,35770337,MA1512.1,413,413,+,chr19,35770275,35770286
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35770201,35770337,MA1596.1,776,776,+,chr19,35770284,35770300
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35770201,35770337,MA1587.1,525,525,+,chr19,35770285,35770299
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35770201,35770337,MA0698.1,507,507,+,chr19,35770308,35770321
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35770201,35770337,MA1123.2,479,479,+,chr19,35770308,35770321
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35770201,35770337,MA1642.1,402,402,+,chr19,35770308,35770321
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35770201,35770337,MA0796.1,406,406,-,chr19,35770309,35770321
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35770201,35770337,MA1618.1,457,457,+,chr19,35770309,35770322
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35770201,35770337,MA0478.1,405,405,-,chr19,35770317,35770328
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35770201,35770337,MA1621.1,402,402,+,chr19,35770324,35770338
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35770201,35770337,MA0499.2,437,437,+,chr19,35770325,35770338
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35770201,35770337,MA0745.2,415,415,+,chr19,35770325,35770338
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35770201,35770337,MA0830.2,492,492,+,chr19,35770325,35770338
ARHGAP33,19,35774532,35788822,AluSq2,-,19,35770201,35770337,MA1631.1,451,451,+,chr19,35770325,35770338
